phase,resolution_m,radius_m,run,target_id,target_lon,target_lat,target_height_agl_m,elapsed_s,read_s,dense_s,mask_s,total_s,cache_lookup_s,cache_status,rows,cols,state_bytes,baseline_rss_bytes,peak_rss_bytes
warm_uncached,5,1000.0,0,0,127.00002829110686,37.54954050092772,120.0,0.011156906984979287,0.003845578001346439,0.003661605005618185,0.0023920419916976243,0.010947113012662157,0.001046118006343022,disabled,401,401,160801,192270336,192294912
warm_uncached,5,1000.0,1,1,126.99524311420606,37.545311527271124,120.0,0.01541555201401934,0.00658428599126637,0.004865166003582999,0.002487443998688832,0.015187148004770279,0.0012485320039559156,disabled,401,401,160801,192487424,192491520
warm_uncached,5,1000.0,2,2,126.99423715263802,37.55500928397593,120.0,0.014408674003789201,0.004995208000764251,0.0037417660059873015,0.003927298996131867,0.014199689991073683,0.0015338569937739521,disabled,401,401,160801,192487424,192495616
warm_uncached,5,1000.0,3,3,127.00779831866396,37.54285464789781,120.0,0.014414505014428869,0.0033338679932057858,0.004790675011463463,0.004768093989696354,0.014212420996045694,0.0013189940073061734,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,4,4,127.0064726628693,37.55369503682594,120.0,0.010340872016968206,0.003349539008922875,0.003632333973655477,0.0021114270202815533,0.01017179898917675,0.0010769990039989352,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,5,0,127.00002829110686,37.54954050092772,120.0,0.015003484004409984,0.0044516380003187805,0.0062105690012685955,0.0028564910171553493,0.014767929998924956,0.001248121989192441,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,6,1,126.99524311420606,37.545311527271124,120.0,0.015459173009730875,0.007210826996015385,0.004927027010126039,0.0018659129855223,0.015303280000807717,0.001298673014389351,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,7,2,126.99423715263802,37.55500928397593,120.0,0.01740903701283969,0.008258206013124436,0.005462466011522338,0.0023169509950093925,0.01715673299622722,0.001117409992730245,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,8,3,127.00779831866396,37.54285464789781,120.0,0.009792572993319482,0.0033231280103791505,0.003395509993424639,0.001720930013107136,0.009601249010302126,0.0011608409986365587,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,9,4,127.0064726628693,37.55369503682594,120.0,0.013808082992909476,0.0035299629962537438,0.007065623998641968,0.0018968140066135675,0.013600509992102161,0.0011068689927924424,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,10,0,127.00002829110686,37.54954050092772,120.0,0.010225481004454195,0.003539411991368979,0.0035086619900539517,0.0019350550137460232,0.010049047996290028,0.0010639590036589652,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,11,1,126.99524311420606,37.545311527271124,120.0,0.010697678022552282,0.0037395060062408447,0.0037540360062848777,0.0018481019942555577,0.010414213000331074,0.0010715089738368988,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,12,2,126.99423715263802,37.55500928397593,120.0,0.015614896023180336,0.005215592012973502,0.007151145982788876,0.001655138999922201,0.015467332006664947,0.0014444949920289218,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,13,3,127.00779831866396,37.54285464789781,120.0,0.012715144024696201,0.00364419401739724,0.00352363201091066,0.004325105983298272,0.01258552199578844,0.0010919599735643715,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,14,4,127.0064726628693,37.55369503682594,120.0,0.017004250024911016,0.006918312021298334,0.0032829869887791574,0.005685431009624153,0.0168518369900994,0.0009643969824537635,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,15,0,127.00002829110686,37.54954050092772,120.0,0.01391875499393791,0.005402295006206259,0.006173859001137316,0.0013600740057881922,0.01377221298753284,0.0008353249868378043,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,16,1,126.99524311420606,37.545311527271124,120.0,0.014366142975632101,0.004720492986962199,0.007068705017445609,0.0015987879887688905,0.014233321009669453,0.00084505500853993,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,17,2,126.99423715263802,37.55500928397593,120.0,0.024945609999122098,0.007233707990963012,0.008810764993540943,0.007803598011378199,0.02478081698063761,0.0009315659990534186,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,18,3,127.00779831866396,37.54285464789781,120.0,0.021012291021179408,0.007635235000634566,0.009926644997904077,0.002252279024105519,0.020869158004643396,0.0010535579931456596,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,19,4,127.0064726628693,37.55369503682594,120.0,0.015646656014723703,0.006747089006239548,0.004099021985894069,0.0034869520168285817,0.015458043024409562,0.0011230100062675774,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,20,0,127.00002829110686,37.54954050092772,120.0,0.018782330997055396,0.007810977986082435,0.0041804440261330456,0.005466865986818448,0.018600818002596498,0.001140990003477782,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,21,1,126.99524311420606,37.545311527271124,120.0,0.016233736008871347,0.003770876006456092,0.008444078994216397,0.0025294450169894844,0.016031912993639708,0.0012866929755546153,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,22,2,126.99423715263802,37.55500928397593,120.0,0.017651150992605835,0.009921005024807528,0.004013900994323194,0.002270269993459806,0.017449717997806147,0.001242541999090463,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,23,3,127.00779831866396,37.54285464789781,120.0,0.019293518998892978,0.005961824994301423,0.0057162700104527175,0.006060787010937929,0.019035005010664463,0.0012947130016982555,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,24,4,127.0064726628693,37.55369503682594,120.0,0.019094646006124094,0.005589638982200995,0.00824112500413321,0.0035893130116164684,0.018924583011539653,0.0015033660165499896,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,25,0,127.00002829110686,37.54954050092772,120.0,0.012684743996942416,0.003273758018622175,0.005903663986828178,0.002122086996678263,0.012481010024202988,0.0011798710038419813,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,26,1,126.99524311420606,37.545311527271124,120.0,0.015421671996591613,0.005128791002789512,0.006825640011811629,0.002109797002049163,0.015254489000653848,0.0011888209846802056,disabled,401,401,160801,192491520,192495616
warm_uncached,5,1000.0,27,2,126.99423715263802,37.55500928397593,120.0,0.017175841989228502,0.0075828130065929145,0.0053285240137483925,0.0026688369980547577,0.016984959016554058,0.0014031149912625551,disabled,401,401,160801,192491520,192495616
