phase,resolution_m,radius_m,run,target_id,target_lon,target_lat,target_height_agl_m,elapsed_s,read_s,dense_s,mask_s,total_s,cache_lookup_s,cache_status,rows,cols,state_bytes,baseline_rss_bytes,peak_rss_bytes
warm_uncached,5,1000.0,0,0,127.00002829110686,37.54954050092772,120.0,0.009119458991335705,0.0028812939999625087,0.003302408993477002,0.0014926240255590528,0.00897411402547732,0.0012967170041520149,disabled,401,401,160801,222367744,222388224
warm_uncached,5,1000.0,1,1,126.99524311420606,37.545311527271124,120.0,0.010647284012520686,0.003945932985516265,0.0038824600051157176,0.0015980869939085096,0.010485917999176309,0.0010590979945845902,disabled,401,401,160801,222519296,222527488
warm_uncached,5,1000.0,2,2,126.99423715263802,37.55500928397593,120.0,0.014617498003644869,0.004281234985683113,0.0072770130063872784,0.0017160910065285861,0.01445804099785164,0.0011824720131698996,disabled,401,401,160801,222523392,222527488
warm_uncached,5,1000.0,3,3,127.00779831866396,37.54285464789781,120.0,0.0161057619843632,0.008657002006657422,0.004150639986619353,0.0018137560109607875,0.015910993999568745,0.0012886759941466153,disabled,401,401,160801,222523392,222539776
warm_uncached,5,1000.0,4,4,127.0064726628693,37.55369503682594,120.0,0.015138866001507267,0.004505421995418146,0.006696232012473047,0.002267201984068379,0.014905997988535091,0.0014358320040628314,disabled,401,401,160801,222535680,222539776
warm_uncached,5,1000.0,5,0,127.00002829110686,37.54954050092772,120.0,0.01519522798480466,0.00478880200535059,0.0072542220004834235,0.0018354659841861576,0.015014661999884993,0.0011347009858582169,disabled,401,401,160801,222535680,222539776
warm_uncached,5,1000.0,6,1,126.99524311420606,37.545311527271124,120.0,0.00931149601819925,0.003238637000322342,0.003235245996620506,0.0017255919810850173,0.00917800099705346,0.000977185001829639,disabled,401,401,160801,222535680,222539776
warm_uncached,5,1000.0,7,2,126.99423715263802,37.55500928397593,120.0,0.01218156999675557,0.003991114004747942,0.003818508004769683,0.0030505399918183684,0.011977083020610735,0.001116330997319892,disabled,401,401,160801,222535680,222539776
warm_uncached,5,1000.0,8,3,127.00779831866396,37.54285464789781,120.0,0.013934613001765683,0.0068659569951705635,0.0032351470144931227,0.002443809004034847,0.013725486001931131,0.0011791329889092594,disabled,401,401,160801,222535680,222539776
warm_uncached,5,1000.0,9,4,127.0064726628693,37.55369503682594,120.0,0.014973929995903745,0.004552233993308619,0.006606139009818435,0.0022692909988109022,0.014745252003194764,0.0013151380117051303,disabled,401,401,160801,222535680,222539776
warm_uncached,5,1000.0,10,0,127.00002829110686,37.54954050092772,120.0,0.017376547009916976,0.008430684974882752,0.005356583016691729,0.0020275030110497028,0.017181000002892688,0.001364739000564441,disabled,401,401,160801,222535680,222539776
warm_uncached,5,1000.0,11,1,126.99524311420606,37.545311527271124,120.0,0.014546844991855323,0.007653916021808982,0.0037439649750012904,0.001796565018594265,0.0143993099918589,0.0012039739813189954,disabled,401,401,160801,222535680,222539776
warm_uncached,5,1000.0,12,2,126.99423715263802,37.55500928397593,120.0,0.015098324976861477,0.004485591984121129,0.007633355999132618,0.0017576829995959997,0.014932779013179243,0.0010549680155236274,disabled,401,401,160801,222535680,222539776
warm_uncached,5,1000.0,13,3,127.00779831866396,37.54285464789781,120.0,0.010929534997558221,0.004165210004430264,0.003701754001667723,0.0017214519903063774,0.010744417988462374,0.0011556620011106133,disabled,401,401,160801,222535680,222539776
warm_uncached,5,1000.0,14,4,127.0064726628693,37.55369503682594,120.0,0.014008634985657409,0.007250991009641439,0.0034412950044497848,0.001982521003810689,0.013834159006364644,0.0011580919963307679,disabled,401,401,160801,222535680,222539776
warm_uncached,5,1000.0,15,0,127.00002829110686,37.54954050092772,120.0,0.014624508010456339,0.003433553996728733,0.007616325019625947,0.0021079559810459614,0.014404059998923913,0.001244154991582036,disabled,401,401,160801,222535680,222539776
warm_uncached,5,1000.0,16,1,126.99524311420606,37.545311527271124,120.0,0.014599366986658424,0.005446075985673815,0.005217969010118395,0.002351375005673617,0.014368999021826312,0.001351619022898376,disabled,401,401,160801,222535680,222539776
warm_uncached,5,1000.0,17,2,126.99423715263802,37.55500928397593,120.0,0.012868664023699239,0.003945253003621474,0.0037058439920656383,0.0036766120174434036,0.012693787983153015,0.001364098978228867,disabled,401,401,160801,222535680,222539776
warm_uncached,5,1000.0,18,3,127.00779831866396,37.54285464789781,120.0,0.0176044559921138,0.008564359013689682,0.0041065679979510605,0.0032485080009792,0.017302095016930252,0.0013806000060867518,disabled,401,401,160801,222535680,222539776
warm_uncached,5,1000.0,19,4,127.0064726628693,37.55369503682594,120.0,0.01340502398670651,0.005015381000703201,0.004446990002179518,0.0023771660053171217,0.013194505998399109,0.0013539989886339754,disabled,401,401,160801,222535680,222539776
